name,code
Callophrys sheridanii,CALLSHE
Callophrys sheridanii sheridanii,CALLSHE
Callophrys sheridanii comstocki,CALLSHE
Callophrys sheridanii lemberti,CALLSHE
Callophrys spinetorum,CALLSPI
Callophrys xami,CALLXAM
Calephelis mutica,CALMUT
Calephelis nemesis,CALNEM
Calephelis perditalis,CALPER
Calpodes ethlius,CALPETH
Calephelis rawsoni,CALRAW
Calephelis rawsoni rawsoni,CALRAW
Calephelis rawsoni freemani,CALRAW
Calephelis virginiensis,CALVIR
Calephelis wrighti,CALWRI
Calycopis sp.,CALY-SP
Calycopis cecrops,CALYCEC
Calycopis isobeon,CALYISO
Caria ino,CARINO
Carrhenes canescens,CARRCAN
Carterocephalus palaemon,CARTPAL
Catasticta nimbice,CATNIM
Celastrina sp.,CEL-SP
Celaenorrhinus sp.,CELA-SP
Celaenorrhinus fritzgaertneri,CELAFRI
Celaenorrhinus stallingsi,CELASTA
Celastrina ladon,CELLAD
Celastrina ladon ladon,CELLAD
Celastrina ladon violacea,CELLAD
Celastrina ladon ssp.,CELLAD
Celastrina ladon idella,CELLAD
Celastrina ladon humulus,CELLAD
Celastrina ladon argentata,CELLAD
Celastrina ladon neglecta,CELLAD
Celastrina neglectamajor,CELNEG
Celastrina nigra,CELNIG
Celotes sp.,CELO-SP
Celotes limpia,CELOLIM
Celotes nessus,CELONES
Cercyonis sp.,CER-SP
Cercyonis meadii,CERMEA
Cercyonis oetus,CEROET
Cercyonis pegala,CERPEG
Cercyonis sthenele,CERSTH
Chioides sp.,CHI-SP
Chioides catillus,CHICAT
Chiomara sp.,CHIO-SP
Chiomara asychis,CHIOASY
Chiomara mithrax,CHIOMIT
Chioides zilpa,CHIZIL
Chlorostrymon sp.,CHL-SP
Chlorostrymon maesites,CHLMAE
Chlosyne sp.,CHLO-SP
Chlosyne acastus,CHLOACA
Chlosyne californica,CHLOCAL
Chlosyne chinatiensis,CHLOCHI
Chlosyne cyneas,CHLOCYN
Chlosyne definita,CHLODEF
Chlosyne endeis,CHLOEND
Chlosyne fulvia,CHLOFUL
Chlosyne gabbii,CHLOGAB
Chlosyne gorgone,CHLOGOR
Chlosyne harrisii,CHLOHAR
Chlosyne hoffmanni,CHLOHOF
Chlosyne janais,CHLOJAN
Chlosyne lacinia,CHLOLAC
Chlosyne leanira,CHLOLEA
Chlosyne marina,CHLOMAR
Chlosyne nycteis,CHLONYC
Chlosyne palla,CHLOPAL
Chlosyne rosita,CHLOROS
Chlosyne theona,CHLOTHE
Chlosyne whitneyi,CHLOWHI
Chlorostrymon simaethis,CHLSIM
Chlorostrymon telea,CHLTEL
Codatractus sp.,COD-SP
Codatractus alcaeus,CODALC
Codatractus arizonensis,CODARI
Codatractus mysie,CODMYS
Coenonympha sp.,COE-SP
Coenonympha haydenii,COEHAY
Coenonympha tullia,COETUL
Coenonympha tullia inornata,COETUL
Coenonympha tullia nipisiquit,COETUL
Coenonympha tullia ochracea,COETUL
Coenonympha tullia ampelos,COETUL
Coenonympha tullia california,COETUL
Cogia sp.,COG-SP
Cogia caicus,COGCAI
Cogia calchas,COGCAL
Cogia hippalus,COGHIP
Cogia outis,COGOUT
Colias sp.,COL-SP
Colias alexandra,COLALE
Colias alexandra harfordii,COLALE
Colias alexandra krauthii,COLALE
Colias behrii,COLBEH
Colias boothi,COLBOO
Colias canadensis,COLCAN
Colias cesonia,COLCES
Colias christina,COLCHR
Colias eurydice,COLEU1
Colias eurytheme,COLEU2
Colias gigantea,COLGIG
Colias hecla,COLHEC
Colias interior,COLINT
Colias johanseni,COLJOH
Colias meadii,COLMEA
Colias nastes,COLNAS
Colias nastes thula,COLNAS
Colias occidentalis,COLOCC
Colias occidentalis chrysomelas,COLOCC
Colias occidentalis pseudochristina,COLOCC
Colias palaeno,COLPAL
Colias pelidne,COLPEL
Colias philodice,COLPHI
Colias scudderi,COLSCU
Conga chydaea,CONCHY
Copaeodes sp.,COP-SP
Copaeodes aurantiacus,COPAUR
Copaeodes minimus,COPMIN
Corticea corticea,CORCOR
Cyanophrys sp.,CYA-SP
Cyanophrys goodsoni,CYAGOO
Cyanophrys herodotus,CYAHER
Cyanophrys miserabilis,CYAMIS
Cyllopsis sp.,CYL-SP
Cyllopsis gemma,CYLGEM
Cyllopsis pertepida,CYLPER
Cyllopsis pyracmon,CYLPYR
Cyllopsis pyracmon pyracmon,CYLPYR
Cyllopsis pyracmon henshawi,CYLPYR
Cymaenes sp.,CYM-SP
Cymaenes odilia,CYMODI
Cymaenes tripunctus,CYMTRI
Danaus sp.,DAN-SP
Danaus eresimus,DANERE
Danaus gilippus,DANGIL
Danaus plexippus,DANPLE
Decinea percosius,DECPER
Dione moneta,DIOMON
Dircenna klugii,DIRKLU
Doxocopa sp.,DOX-SP
Doxocopa laure,DOXLAU
Doxocopa pavon,DOXPAV
Dryas iulia,DRYAJUL
Dryadula phaetusa,DRYPHA
Dymasia dymas,DYMDYM
Dymasia dymas chara,DYMDYM
Dynamine dyonis,DYNDYO
Electrostrymon sp.,ELE-SP
Electrostrymon angelia,ELEANG
Electrostrymon canus,ELECAN
Electrostrymon sangala,ELESAN
Emesis sp.,EME-SP
Emesis ares,EMEARE
Emesis emesia,EMEEME
Emesis tenedia,EMETEN
Emesis zela,EMEZEL
Enantia albania,ENAALB
Enodia sp.,ENO-SP
Enodia anthedon,ENOANT
Enodia creola,ENOCRE
Enodia portlandia,ENOPOR
Epargyreus sp.,EPA-SP
Epargyreus clarus,EPACLA
Epargyreus exadeus,EPAEXA
Epargyreus zestos,EPAZES
Ephyriades brunneus,EPHBRU
Epiphile adrasta,EPIADR
Erebia sp.,ERE-SP
Erebia callias,ERECAL
Erebia dabanensis,EREDAB
Erebia disa,EREDI1
Erebia discoidalis,EREDI2
Erebia epipsodea,EREEPI
Erebia fasciata,EREFAS
Erebia kozhantshikovi,EREKOZ
Erebia magdalena,EREMAG
Erebia mancinus,EREMAN
Erebia occulta,EREOCC
Erebia rossii,EREROS
Erebia theano,ERETHE
Erebia vidleri,EREVID
Erionota thrax,ERITHR
Erora sp.,ERO-SP
Erora laeta,EROLAE
Erora quaderna,EROQUA
Erynnis sp.,ERY-SP
Erynnis afranius,ERYAFR
Erynnis baptisiae,ERYBAP
Erynnis brizo,ERYBRI
Erynnis funeralis,ERYFUN
Erynnis horatius,ERYHOR
Erynnis icelus,ERYICE
Erynnis juvenalis,ERYJUV
Erynnis juvenalis clitus,ERYJUV
Erynnis lucilius,ERYLUC
Erynnis martialis,ERYMAR
Erynnis meridianus,ERYMER
Erynnis pacuvius,ERYPAC
Erynnis persius,ERYPER
Erynnis propertius,ERYPRO
Erynnis scudderi,ERYSCU
Erynnis telemachus,ERYTEL
Erynnis tristis,ERYTRI
Erynnis zarucco,ERYZAR
Euchloe sp.,EUC-SP
Euchloe ausonides,EUCAUS
Euchloe creusa,EUCCRE
Euchloe guaymasensis,EUCGUA
Euchloe hyantis,EUCHYA
Euchloe hyantis hyantis,EUCHYA
Euchloe hyantis lotta,EUCHYA
Euchloe naina,EUCNAI
Euchloe olympia,EUCOLY
Eueides isabella,EUEISA
Eumaeus atala,EUMATA
Eunica sp.,EUN-SP
Eunica monima,EUNMON
Eunica tatila,EUNTAT
Euphilotes sp.,EUP-SP
Euphilotes battoides,EUPBAT
Euphilotes battoides allyni,EUPBAT
Euphilotes battoides bernardino,EUPBAT
Euphilotes battoides intermedia,EUPBAT
Euphilotes battoides baueri,EUPBAT
Euphilotes battoides centralis,EUPBAT
Euphilotes battoides ellisi,EUPBAT
Euphilotes enoptes,EUPENO
Euphilotes enoptes mojave,EUPENO
Euphilotes enoptes dammersi,EUPENO
Euphilotes enoptes ancilla,EUPENO
Euphydryas sp.,EUPH-SP
Euphydryas chalcedona,EUPHCHA
Euphydryas chalcedona chalcedona,EUPHCHA
Euphydryas chalcedona colon,EUPHCHA
Euphydryas chalcedona anicia,EUPHCHA
Euphydryas editha,EUPHEDI
Euphydryas gillettii,EUPHGIL
Euphydryas phaeton,EUPHPHA
Euphilotes rita,EUPRIT
Euphilotes rita pallescens,EUPRIT
Euphilotes spaldingi,EUPSPA
Euptoieta sp.,EUPT-SP
Euptoieta claudia,EUPTCLA
Euptoieta hegesia,EUPTHEG
Euphyes sp.,EUPY-SP
Euphyes arpa,EUPYARP
Euphyes bayensis,EUPYBAY
Euphyes berryi,EUPYBER
Euphyes bimacula,EUPYBIM
Euphyes conspicua,EUPYCON
Euphyes dion,EUPYDIO
Euphyes dukesi,EUPYDUK
Euphyes pilatka,EUPYPIL
Euphyes vestris,EUPYVES
Eurema sp.,EUR-SP
Eurema albula,EURALB
Eurema boisduvaliana,EURBOI
Eurema daira,EURDAI
Eurema dina,EURDIN
Eurema lisa,EURLIS
Eurema messalina,EURMES
Eurema mexicana,EURMEX
Eurema nicippe,EURNIC
Eurema nise,EURNIS
Eurema proterpia,EURPRO
Eurema salome,EURSAL
Eurytides sp.,EURY-SP
Eurytides marcellus,EURYMAR
Eurytides philolaus,EURYPHI
Everes sp.,EVE-SP
Everes amyntula,EVEAMY
Everes comyntas,EVECOM
Hesperiidae sp.,F-HESP
Lycaenidae sp.,F-LYCA
Nymphalidae sp.,F-NYMP
Papilionidae sp.,F-PAPI
Pieridae sp.,F-PIER
Riodinidae sp.,F-RIOD
Feniseca tarquinius,FENTAR
Ganyra sp.,GAN-SP
Ganyra howarthii,GANHOW
Ganyra josephina,GANJOS
Gesta gesta,GESGES
Glaucopsyche sp.,GLA-SP
Glaucopsyche lygdamus,GLALYG
Glaucopsyche piasus,GLAPIA
Glaucopsyche xerces,GLAXER
Gorgythion begga,GORBEG
Grais stigmatica,GRASTI
Colias philodiceXeurytheme,H-COL
Limenitis arthemis artXast,H-LIM1
Limenitis archippusXweidemeyerii,H-LIM2
Limenitis arthemisXweidemeyerii,H-LIM3
Limenitis arthemisXarchippus,H-LIM4
Limenitis lorquiniXarthemis,H-LIM5
Habrodais grunus,HABGRU
Hamadryas sp.,HAM-SP
Hamadryas amphichloe,HAMAM1
Hamadryas amphinome,HAMAM2
Hamadryas atlantis,HAMATL
Hamadryas februa,HAMFEB
Hamadryas feronia,HAMFER
Hamadryas glauconome,HAMGLA
Hamadryas guatemalena,HAMGUA
Heliconius sp.,HEL-SP
Heliconius charithonia,HELCHA
Heliconius erato,HELERA
Heliopetes sp.,HELI-SP
Heliopetes arsalte,HELIARS
Heliopetes domicella,HELIDOM
Heliopetes ericetorum,HELIERI
Heliopetes laviana,HELILAV
Heliopetes macaira,HELIMAC
Hemiargus sp.,HEM-SP
Hemiargus ammon,HEMAMM
Hemiargus ceraunus,HEMCER
Hemiargus isola,HEMISO
Hemiargus thomasi,HEMTHO
Hermeuptychia sosybius,HERSOS
Hesperia sp.,HES-SP
Hesperia attalus,HESATT
Hesperia columbia,HESCOL
Hesperia comma,HESCOM
Hesperia comma colorado,HESCOM
Hesperia comma assiniboia,HESCOM
Hesperia dacotae,HESDAC
Hesperia juba,HESJUB
Hesperia leonardus,HESLEO
Hesperia lindseyi,HESLIN
Hesperia meskei,HESMES
Hesperia metea,HESMET
Hesperia miriamae,HESMIR
Hesperia nevada,HESNEV
Hesperia ottoe,HESOTT
Hesperopsis sp.,HESP-SP
Hesperia pahaska,HESPAH
Hesperopsis alpheus,HESPALP
Hesperopsis alpheus alpheus,HESPALP
Hesperopsis alpheus gracielae,HESPALP
Hesperopsis libya,HESPLIB
Hesperia sassacus,HESSAS
Hesperia uncas,HESUNC
Hesperia viridis,HESVIR
Hesperia woodgatei,HESWOO
Historis sp.,HIS-SP
Historis acheronta,HISACH
Historis odius,HISODI
Hylephila phyleus,HYLPHY
Hypolimnas misippus,HYPLMIS
Hypanartia lethe,HYPNLET
Hypostrymon critola,HYPSCRI
Hypaurotis crysalus,HYPUCRY
Junonia sp.,JUN-SP
Junonia coenia,JUNCOE
Junonia evarete,JUNEVA
Junonia genoveva form nigrosuffusa,JUNGEN
Kricogonia lyside,KRILYS
Lampides boeticus,LAMBOE
Lasaia sula,LASSUL
Leptotes sp.,LEP-SP
Leptotes cassius,LEPCAS
Leptotes marina,LEPMAR
Lerema sp.,LER-SP
Lerema accius,LERACC
Lerema liris,LERLIR
Lerodea sp.,LERO-SP
Lerodea arabus,LEROARA
Lerodea dysaules,LERODYS
Lerodea eufala,LEROEUF
Libytheana carinenta,LIBCAR
Limenitis sp.,LIM-SP
Limenitis archippus,LIMARC
Limenitis arthemis,LIMART
Limenitis lorquini,LIMLOR
Limenitis weidemeyerii,LIMWEI
Lycaeides sp.,LYC-SP
Lycaena sp.,LYCA-SP
Lycaena arota,LYCAARO
Lycaena cupreus,LYCACUP
Lycaena cupreus snowi,LYCACUP
Lycaena dione,LYCADIO
Lycaena dorcas,LYCADOR
Lycaena dorcas claytoni,LYCADOR
Lycaena dorcas dospassosi,LYCADOR
Lycaena editha,LYCAEDI
Lycaena epixanthe,LYCAEPI
Lycaena gorgon,LYCAGOR
Lycaena helloides,LYCAHEL
Lycaena hermes,LYCAHER
Lycaena heteronea,LYCAHET
Lycaena hyllus,LYCAHYL
Lycaena mariposa,LYCAMAR
Lycaena nivalis,LYCANIV
Lycaena phlaeas,LYCAPHL
Lycaena rubidus,LYCARUB
