code,genus,species,common.name,code.messy,tax.messy.level
URBSIM,Urbanus,simplicius,Plain Longtail,URB-SP,GENUS
URBTAN,Urbanus,tanna,Tanna Longtail,URB-SP,GENUS
URBTEL,Urbanus,teleus,Teleus Longtail,URB-SP,GENUS
VANANN,Vanessa,annabella,West Coast Lady,VAN-SP,GENUS
VANATA,Vanessa,atalanta,Red Admiral,VAN-SP,GENUS
VANCAR,Vanessa,cardui,Painted Lady,VAN-SP,GENUS
VANTAM,Vanessa,tameneamea,Kamehameha Lady,VAN-SP,GENUS
VANVIR,Vanessa,virginiensis,American Lady,VAN-SP,GENUS
WALEGE,Wallengrenia,egeremet,Northern Broken-Dash,WAL-SP,GENUS
WALOTH,Wallengrenia,otho,Southern Broken-Dash,WAL-SP,GENUS
ASTCEL,Asterocampa,celtis,Hackberry Emperor,SF-APAT,SUBFAMILY
ASTCLY,Asterocampa,clyton,Tawny Emperor,SF-APAT,SUBFAMILY
ASTIDY,Asterocampa,idyja,Cream-banded' Dusky Emperor,SF-APAT,SUBFAMILY
ASTLEI,Asterocampa,leilia,Empress Leilia,SF-APAT,SUBFAMILY
DOXLAU,Doxocopa,laure,Silver Emperor,SF-APAT,SUBFAMILY
DOXPAV,Doxocopa,pavon,Pavon Emperor,SF-APAT,SUBFAMILY
ANTCLO,Anteos,clorinde,White Angled-Sulphur,SF-COLI,SUBFAMILY
ANTMAE,Anteos,maerula,Yellow Angled-Sulphur,SF-COLI,SUBFAMILY
COLALE,Colias,alexandra,Queen Alexandra's Sulphur,SF-COLI,SUBFAMILY
COLALE,Colias,alexandra,'Harford's' Queen Alexandra's Sulphur,SF-COLI,SUBFAMILY
COLBEH,Colias,behrii,Sierra Sulphur,SF-COLI,SUBFAMILY
COLBOO,Colias,boothi,Booth's Sulphur,SF-COLI,SUBFAMILY
COLCAN,Colias,canadensis,Canadian Sulphur,SF-COLI,SUBFAMILY
COLCES,Colias,cesonia,Southern Dogface,SF-COLI,SUBFAMILY
COLCHR,Colias,christina,Christina's Sulphur,SF-COLI,SUBFAMILY
COLEU1,Colias,eurydice,California Dogface,SF-COLI,SUBFAMILY
COLEU2,Colias,eurytheme,Orange Sulphur,SF-COLI,SUBFAMILY
COLGIG,Colias,gigantea,Giant Sulphur,SF-COLI,SUBFAMILY
COLHEC,Colias,hecla,Hecla Sulphur,SF-COLI,SUBFAMILY
COLINT,Colias,interior,Pink-edged Sulphur,SF-COLI,SUBFAMILY
COLJOH,Colias,johanseni,Coppermine Sulphur,SF-COLI,SUBFAMILY
COLMEA,Colias,meadii,Mead's Sulphur,SF-COLI,SUBFAMILY
COLNAS,Colias,nastes,Labrador Sulphur,SF-COLI,SUBFAMILY
COLOCC,Colias,occidentalis,Western Sulphur,SF-COLI,SUBFAMILY
COLPAL,Colias,palaeno,Palaeno Sulphur,SF-COLI,SUBFAMILY
COLPEL,Colias,pelidne,Pelidne Sulphur,SF-COLI,SUBFAMILY
COLPHI,Colias,philodice,Clouded Sulphur,SF-COLI,SUBFAMILY
COLSCU,Colias,scudderi,Scudder's Sulphur,SF-COLI,SUBFAMILY
EURALB,Eurema,albula,Ghost Yellow,SF-COLI,SUBFAMILY
EURBOI,Eurema,boisduvaliana,Boisduval's Yellow,SF-COLI,SUBFAMILY
EURDAI,Eurema,daira,Barred Yellow,SF-COLI,SUBFAMILY
EURDIN,Eurema,dina,Dina Yellow,SF-COLI,SUBFAMILY
EURLIS,Eurema,lisa,Little Yellow,SF-COLI,SUBFAMILY
EURMES,Eurema,messalina,Shy Yellow,SF-COLI,SUBFAMILY
EURMEX,Eurema,mexicana,Mexican Yellow,SF-COLI,SUBFAMILY
EURNIC,Eurema,nicippe,Sleepy Orange,SF-COLI,SUBFAMILY
EURNIS,Eurema,nise,Mimosa Yellow,SF-COLI,SUBFAMILY
EURPRO,Eurema,proterpia,Tailed Orange,SF-COLI,SUBFAMILY
EURSAL,Eurema,salome,Salome Yellow,SF-COLI,SUBFAMILY
KRILYS,Kricogonia,lyside,Lyside Sulphur,SF-COLI,SUBFAMILY
NATIOL,Nathalis,iole,Dainty Sulphur,SF-COLI,SUBFAMILY
PHOEAGA,Phoebis,agarithe,Large Orange Sulphur,SF-COLI,SUBFAMILY
PHOENEO,Phoebis,neocypris,Tailed Sulphur,SF-COLI,SUBFAMILY
PHOEORB,Phoebis,orbis,Orbed Sulphur,SF-COLI,SUBFAMILY
PHOEPHI,Phoebis,philea,Orange-barred Sulphur,SF-COLI,SUBFAMILY
PHOESEN,Phoebis,sennae,Cloudless Sulphur,SF-COLI,SUBFAMILY
PHOESTA,Phoebis,statira,Statira Sulphur,SF-COLI,SUBFAMILY
AGRAVAN,Agraulis,vanillae,Gulf Fritillary,SF-HELI,SUBFAMILY
BOLOALB,Boloria,alberta,Alberta Fritillary,SF-HELI,SUBFAMILY
BOLOAST,Boloria,astarte,Astarte Fritillary,SF-HELI,SUBFAMILY
BOLOAST,Boloria,astarte,Distinct' Astarte Fritillary,SF-HELI,SUBFAMILY
BOLOBEL,Boloria,bellona,Meadow Fritillary,SF-HELI,SUBFAMILY
BOLOCHA,Boloria,chariclea,Arctic Fritillary,SF-HELI,SUBFAMILY
BOLOEPI,Boloria,epithore,Pacific Fritillary,SF-HELI,SUBFAMILY
BOLOEUN,Boloria,eunomia,Bog Fritillary,SF-HELI,SUBFAMILY
BOLOFRE,Boloria,freija,Freija Fritillary,SF-HELI,SUBFAMILY
BOLOFRI,Boloria,frigga,Frigga Fritillary,SF-HELI,SUBFAMILY
BOLOIMP,Boloria,improba,Dingy Fritillary,SF-HELI,SUBFAMILY
BOLOIMP,Boloria,improba,'Wind River' Dingy Fritillary,SF-HELI,SUBFAMILY
BOLOKRI,Boloria,kriemhild,Relict Fritillary,SF-HELI,SUBFAMILY
BOLOMON,Boloria,montinus,Purplish Fritillary,SF-HELI,SUBFAMILY
BOLONAP,Boloria,napaea,Mountain Fritillary,SF-HELI,SUBFAMILY
BOLONAT,Boloria,natazhati,Cryptic Fritillary,SF-HELI,SUBFAMILY
BOLOPOL,Boloria,polaris,Polaris Fritillary,SF-HELI,SUBFAMILY
BOLOSEL,Boloria,selene,Silver-bordered Fritillary,SF-HELI,SUBFAMILY
DIOMON,Dione,moneta,Mexican Silverspot,SF-HELI,SUBFAMILY
DRYAJUL,Dryas,iulia,Julia Heliconian,SF-HELI,SUBFAMILY
DRYPHA,Dryadula,phaetusa,Banded Orange Heliconian,SF-HELI,SUBFAMILY
EUEISA,Eueides,isabella,Isabella's Heliconian,SF-HELI,SUBFAMILY
EUPTCLA,Euptoieta,claudia,Variegated Fritillary,SF-HELI,SUBFAMILY
EUPTHEG,Euptoieta,hegesia,Mexican Fritillary,SF-HELI,SUBFAMILY
HELCHA,Heliconius,charithonia,Zebra Heliconian,SF-HELI,SUBFAMILY
HELERA,Heliconius,erato,Erato Heliconian,SF-HELI,SUBFAMILY
S-BOAC,Boloria,improba acrocnema,Uncompahgre' Dingy Fritillary,SF-HELI,SUBFAMILY
SPEYADI,Speyeria,adiaste,Unsilvered Fritillary,SF-HELI,SUBFAMILY
SPEYAPH,Speyeria,aphrodite,Aphrodite Fritillary,SF-HELI,SUBFAMILY
SPEYATL,Speyeria,atlantis,Atlantis Fritillary,SF-HELI,SUBFAMILY
SPEYATL,Speyeria,atlantis,Atlantis' Atlantis Fritillary,SF-HELI,SUBFAMILY
SPEYATL,Speyeria,atlantis,Hesperis' Atlantis Fritillary,SF-HELI,SUBFAMILY
SPEYATL,Speyeria,atlantis,Southwestern' Atlantis Fritillary,SF-HELI,SUBFAMILY
SPEYCAL,Speyeria,callippe,Callippe Fritillary,SF-HELI,SUBFAMILY
SPEYCOR,Speyeria,coronis,Coronis Fritillary,SF-HELI,SUBFAMILY
SPEYCYB,Speyeria,cybele,Great Spangled Fritillary,SF-HELI,SUBFAMILY
SPEYDIA,Speyeria,diana,Diana Fritillary,SF-HELI,SUBFAMILY
SPEYEDW,Speyeria,edwardsii,Edwards' Fritillary,SF-HELI,SUBFAMILY
SPEYEGL,Speyeria,egleis,Great Basin Fritillary,SF-HELI,SUBFAMILY
SPEYHYD,Speyeria,hydaspe,Hydaspe Fritillary,SF-HELI,SUBFAMILY
SPEYIDA,Speyeria,idalia,Regal Fritillary,SF-HELI,SUBFAMILY
SPEYMOR,Speyeria,mormonia,Mormon Fritillary,SF-HELI,SUBFAMILY
SPEYNOK,Speyeria,nokomis,Nokomis Fritillary,SF-HELI,SUBFAMILY
SPEYZER,Speyeria,zerene,Zerene Fritillary,SF-HELI,SUBFAMILY
SPEYZER,Speyeria,zerene,'Spring Mountains' Zerene Fritillary,SF-HELI,SUBFAMILY
ADOPRI,Adopaeoides,prittwitzi,Sunrise Skipper,SF-HESP,SUBFAMILY
AMBAEN,Amblyscirtes,aenus,Bronze Roadside-Skipper,SF-HESP,SUBFAMILY
AMBAES,Amblyscirtes,aesculapius,Lace-winged Roadside-Skipper,SF-HESP,SUBFAMILY
AMBALT,Amblyscirtes,alternata,Dusky Roadside-Skipper,SF-HESP,SUBFAMILY
AMBBEL,Amblyscirtes,belli,Bell's Roadside-Skipper,SF-HESP,SUBFAMILY
AMBCAR,Amblyscirtes,carolina,Carolina Roadside-Skipper,SF-HESP,SUBFAMILY
AMBCAS,Amblyscirtes,cassus,Cassus Roadside-Skipper,SF-HESP,SUBFAMILY
AMBCEL,Amblyscirtes,celia,Celia's Roadside-Skipper,SF-HESP,SUBFAMILY
AMBELI,Amblyscirtes,elissa,Elissa Roadside-Skipper,SF-HESP,SUBFAMILY
AMBEOS,Amblyscirtes,eos,Dotted Roadside-Skipper,SF-HESP,SUBFAMILY
AMBEXO,Amblyscirtes,exoteria,Large Roadside-Skipper,SF-HESP,SUBFAMILY
AMBFIM,Amblyscirtes,fimbriata,Orange-edged Roadside-Skipper,SF-HESP,SUBFAMILY
AMBHEG,Amblyscirtes,hegon,Pepper and Salt Skipper,SF-HESP,SUBFAMILY
AMBLIN,Amblyscirtes,linda,Linda's Roadside-Skipper,SF-HESP,SUBFAMILY
AMBNER,Amblyscirtes,nereus,Slaty Roadside-Skipper,SF-HESP,SUBFAMILY
AMBNYS,Amblyscirtes,nysa,Nysa Roadside-Skipper,SF-HESP,SUBFAMILY
AMBOSL,Amblyscirtes,oslari,Oslar's Roadside-Skipper,SF-HESP,SUBFAMILY
AMBPHY,Amblyscirtes,phylace,Orange-headed Roadside-Skipper,SF-HESP,SUBFAMILY
AMBREV,Amblyscirtes,reversa,Reversed Roadside-Skipper,SF-HESP,SUBFAMILY
AMBSIM,Amblyscirtes,simius,Simius Roadside-Skipper,SF-HESP,SUBFAMILY
AMBTEX,Amblyscirtes,texanae,Texas Roadside-Skipper,SF-HESP,SUBFAMILY
AMBTOL,Amblyscirtes,tolteca,Toltec Roadside-Skipper,SF-HESP,SUBFAMILY
AMBTOL,Amblyscirtes,tolteca,Prenda' Toltec Roadside-Skipper,SF-HESP,SUBFAMILY
AMBVIA,Amblyscirtes,vialis,Common Roadside-Skipper,SF-HESP,SUBFAMILY
ANATLOG,Anatrytone,logan,Delaware Skipper,SF-HESP,SUBFAMILY
ANATMAZ,Anatrytone,mazai,Glowing Skipper,SF-HESP,SUBFAMILY
ANCARE,Ancyloxypha,arene,Tropical Least Skipper,SF-HESP,SUBFAMILY
ANCNUM,Ancyloxypha,numitor,Least Skipper,SF-HESP,SUBFAMILY
ASBCAP,Asbolis,capucinus,Monk Skipper,SF-HESP,SUBFAMILY
ATACAM,Atalopedes,campestris,Sachem,SF-HESP,SUBFAMILY
ATRARO,Atrytone,arogos,Arogos Skipper,SF-HESP,SUBFAMILY
ATRYCES,Atrytonopsis,cestus,Cestus Skipper,SF-HESP,SUBFAMILY
ATRYDEV,Atrytonopsis,deva,Deva Skipper,SF-HESP,SUBFAMILY
ATRYEDW,Atrytonopsis,edwardsii,Sheep Skipper,SF-HESP,SUBFAMILY
ATRYHIA,Atrytonopsis,hianna,Dusted Skipper,SF-HESP,SUBFAMILY
ATRYLUN,Atrytonopsis,lunus,Moon-marked Skipper,SF-HESP,SUBFAMILY
ATRYPIT,Atrytonopsis,pittacus,White-barred Skipper,SF-HESP,SUBFAMILY
ATRYPYT,Atrytonopsis,python,Python Skipper,SF-HESP,SUBFAMILY
ATRYVIE,Atrytonopsis,vierecki,Viereck's Skipper,SF-HESP,SUBFAMILY
CALPETH,Calpodes,ethlius,Brazilian Skipper,SF-HESP,SUBFAMILY
CONCHY,Conga,chydaea,Hidden-ray Skipper,SF-HESP,SUBFAMILY
COPAUR,Copaeodes,aurantiacus,Orange Skipperling,SF-HESP,SUBFAMILY
COPMIN,Copaeodes,minimus,Southern Skipperling,SF-HESP,SUBFAMILY
CORCOR,Corticea,corticea,Redundant Skipper,SF-HESP,SUBFAMILY
CYMODI,Cymaenes,odilia,Fawn-spotted Skipper,SF-HESP,SUBFAMILY
CYMTRI,Cymaenes,tripunctus,Three-spotted Skipper,SF-HESP,SUBFAMILY
DECPER,Decinea,percosius,Double-dotted Skipper,SF-HESP,SUBFAMILY
ERITHR,Erionota,thrax,Banana Skipper,SF-HESP,SUBFAMILY
EUPYARP,Euphyes,arpa,Palmetto Skipper,SF-HESP,SUBFAMILY
EUPYBAY,Euphyes,bayensis,Bay Skipper,SF-HESP,SUBFAMILY
EUPYBER,Euphyes,berryi,Berry's Skipper,SF-HESP,SUBFAMILY
EUPYBIM,Euphyes,bimacula,Two-spotted Skipper,SF-HESP,SUBFAMILY
EUPYCON,Euphyes,conspicua,Black Dash,SF-HESP,SUBFAMILY
EUPYDIO,Euphyes,dion,Dion Skipper,SF-HESP,SUBFAMILY
EUPYDUK,Euphyes,dukesi,Dukes' Skipper,SF-HESP,SUBFAMILY
EUPYPIL,Euphyes,pilatka,Palatka Skipper,SF-HESP,SUBFAMILY
EUPYVES,Euphyes,vestris,Dun Skipper,SF-HESP,SUBFAMILY
HESATT,Hesperia,attalus,Dotted Skipper,SF-HESP,SUBFAMILY
HESCOL,Hesperia,columbia,Columbian Skipper,SF-HESP,SUBFAMILY
HESCOM,Hesperia,comma,Common Branded Skipper,SF-HESP,SUBFAMILY
HESDAC,Hesperia,dacotae,Dakota Skipper,SF-HESP,SUBFAMILY
HESJUB,Hesperia,juba,Juba Skipper,SF-HESP,SUBFAMILY
HESLEO,Hesperia,leonardus,Leonard's Skipper,SF-HESP,SUBFAMILY
HESLIN,Hesperia,lindseyi,Lindsey's Skipper,SF-HESP,SUBFAMILY
HESMES,Hesperia,meskei,Meske's Skipper,SF-HESP,SUBFAMILY
HESMET,Hesperia,metea,Cobweb Skipper,SF-HESP,SUBFAMILY
HESMIR,Hesperia,miriamae,Sierra Skipper,SF-HESP,SUBFAMILY
HESNEV,Hesperia,nevada,Nevada Skipper,SF-HESP,SUBFAMILY
HESOTT,Hesperia,ottoe,Ottoe Skipper,SF-HESP,SUBFAMILY
HESPAH,Hesperia,pahaska,Pahaska Skipper,SF-HESP,SUBFAMILY
HESSAS,Hesperia,sassacus,Indian Skipper,SF-HESP,SUBFAMILY
HESUNC,Hesperia,uncas,Uncas Skipper,SF-HESP,SUBFAMILY
HESVIR,Hesperia,viridis,Green Skipper,SF-HESP,SUBFAMILY
HESWOO,Hesperia,woodgatei,Apache Skipper,SF-HESP,SUBFAMILY
HYLPHY,Hylephila,phyleus,Fiery Skipper,SF-HESP,SUBFAMILY
LERACC,Lerema,accius,Clouded Skipper,SF-HESP,SUBFAMILY
LERLIR,Lerema,liris,Liris Skipper,SF-HESP,SUBFAMILY
LEROARA,Lerodea,arabus,Violet-clouded Skipper,SF-HESP,SUBFAMILY
LERODYS,Lerodea,dysaules,Olive-clouded Skipper,SF-HESP,SUBFAMILY
LEROEUF,Lerodea,eufala,Eufala Skipper,SF-HESP,SUBFAMILY
MONTYR,Monca,tyrtaeus,Violet-patched Skipper,SF-HESP,SUBFAMILY
NASJUL,Nastra,julia,Julia's Skipper,SF-HESP,SUBFAMILY
NASLHE,Nastra,lherminier,Swarthy Skipper,SF-HESP,SUBFAMILY
NASNEA,Nastra,neamathla,Neamathla Skipper,SF-HESP,SUBFAMILY
NYCNYC,Nyctelius,nyctelius,Violet-banded Skipper,SF-HESP,SUBFAMILY
OAREDW,Oarisma,edwardsii,Edwards' Skipperling,SF-HESP,SUBFAMILY
OARGAR,Oarisma,garita,Garita Skipperling,SF-HESP,SUBFAMILY
OARPOW,Oarisma,poweshiek,Poweshiek Skipperling,SF-HESP,SUBFAMILY
OCHAGR,Ochlodes,agricola,Rural Skipper,SF-HESP,SUBFAMILY
OCHSYL,Ochlodes,sylvanoides,Woodland Skipper,SF-HESP,SUBFAMILY
OCHYUM,Ochlodes,yuma,Yuma Skipper,SF-HESP,SUBFAMILY
OLIMAC,Oligoria,maculata,Twin-spot Skipper,SF-HESP,SUBFAMILY
PANERR,Panoquina,errans,Wandering Skipper,SF-HESP,SUBFAMILY
PANFUS,Panoquina,fusina,Evans' Skipper,SF-HESP,SUBFAMILY
PANHEC,Panoquina,hecebola,Hecebolus Skipper,SF-HESP,SUBFAMILY
PANOCO,Panoquina,ocola,Ocola Skipper,SF-HESP,SUBFAMILY
PANPA1,Panoquina,panoquin,Salt Marsh Skipper,SF-HESP,SUBFAMILY
PANPA2,Panoquina,panoquinoides,Obscure Skipper,SF-HESP,SUBFAMILY
PANSYL,Panoquina,sylvicola,Purple-washed Skipper,SF-HESP,SUBFAMILY
PARASNO,Paratrytone,snowi,Snow's Skipper,SF-HESP,SUBFAMILY
PERPHI,Perichares,philetes,Green-backed Ruby-eye,SF-HESP,SUBFAMILY
POAAAR,Poanes,aaroni,Aaron's Skipper,SF-HESP,SUBFAMILY
POAHOB,Poanes,hobomok,Hobomok Skipper,SF-HESP,SUBFAMILY
POAMAS,Poanes,massasoit,Mulberry Wing,SF-HESP,SUBFAMILY
POAMEL,Poanes,melane,Umber Skipper,SF-HESP,SUBFAMILY
POATAX,Poanes,taxiles,Taxiles Skipper,SF-HESP,SUBFAMILY
POAVIA,Poanes,viator,Broad-winged Skipper,SF-HESP,SUBFAMILY
POAYEH,Poanes,yehl,Yehl Skipper,SF-HESP,SUBFAMILY
POAZAB,Poanes,zabulon,Zabulon Skipper,SF-HESP,SUBFAMILY
POLIBAR,Polites,baracoa,Baracoa Skipper,SF-HESP,SUBFAMILY
POLICAR,Polites,carus,Carus Skipper,SF-HESP,SUBFAMILY
POLIDRA,Polites,draco,Draco Skipper,SF-HESP,SUBFAMILY
POLIMAR,Polites,mardon,Mardon Skipper,SF-HESP,SUBFAMILY
POLIMYS,Polites,mystic,Long Dash,SF-HESP,SUBFAMILY
POLIORI,Polites,origenes,Crossline Skipper,SF-HESP,SUBFAMILY
POLIPEC,Polites,peckius,Peck's Skipper,SF-HESP,SUBFAMILY
POLIRHE,Polites,rhesus,Rhesus Skipper,SF-HESP,SUBFAMILY
POLISAB,Polites,sabuleti,Sandhill Skipper,SF-HESP,SUBFAMILY
POLISON,Polites,sonora,Sonoran Skipper,SF-HESP,SUBFAMILY
POLITHE,Polites,themistocles,Tawny-edged Skipper,SF-HESP,SUBFAMILY
POLIVIB,Polites,vibex,Whirlabout,SF-HESP,SUBFAMILY
POMVER,Pompeius,verna,Little Glassywing,SF-HESP,SUBFAMILY
PROBUL,Problema,bulenta,Rare Skipper,SF-HESP,SUBFAMILY
PROBYS,Problema,byssus,Byssus Skipper,SF-HESP,SUBFAMILY
PSEEUN,Pseudocopaeodes,eunus,Alkali Skipper,SF-HESP,SUBFAMILY
QUAEUL,Quasimellana,eulogius,Common Mellana,SF-HESP,SUBFAMILY
RHIOSC,Rhinthon,osca,Osca Skipper,SF-HESP,SUBFAMILY
STIMOR,Stinga,morrisoni,Morrison's Skipper,SF-HESP,SUBFAMILY
SYNMAL,Synapte,malitiosa,Malicious Skipper,SF-HESP,SUBFAMILY
SYNSAL,Synapte,salenus,Salenus Skipper,SF-HESP,SUBFAMILY
SYNSYR,Synapte,syraces,Faceted Skipper,SF-HESP,SUBFAMILY
THEMAC,Thespieus,macareus,Chestnut-marked Skipper,SF-HESP,SUBFAMILY
THYLIN,Thymelicus,lineola,European Skipper,SF-HESP,SUBFAMILY
VETFAN,Vettius,fantasos,Fantastic Skipper,SF-HESP,SUBFAMILY
VIDPER,Vidius,perigenes,Pale-rayed Skipper,SF-HESP,SUBFAMILY
WALEGE,Wallengrenia,egeremet,Northern Broken-Dash,SF-HESP,SUBFAMILY
WALOTH,Wallengrenia,otho,Southern Broken-Dash,SF-HESP,SUBFAMILY
CARTPAL,Carterocephalus,palaemon,Arctic Skipper,SF-HETE,SUBFAMILY
PIRCIN,Piruna,cingo,Many-spotted Skipperling,SF-HETE,SUBFAMILY
PIRHAF,Piruna,haferniki,Chisos Skipperling,SF-HETE,SUBFAMILY
PIRMIC,Piruna,microstictus,Small-spotted Skipperling,SF-HETE,SUBFAMILY
PIRPIR,Piruna,pirus,Russet Skipperling,SF-HETE,SUBFAMILY
PIRPOL,Piruna,polingi,Four-spotted Skipperling,SF-HETE,SUBFAMILY
ADEBAS,Adelpha,basiloides,Spot-celled Sister,SF-LIME,SUBFAMILY
ADEBRE,Adelpha,bredowii,California Sister,SF-LIME,SUBFAMILY
ADEFES,Adelpha,fessonia,Band-celled Sister,SF-LIME,SUBFAMILY
BIBHYP,Biblis,hyperia,Red Rim,SF-LIME,SUBFAMILY
DYNDYO,Dynamine,dyonis,Blue-eyed Sailor,SF-LIME,SUBFAMILY
EPIADR,Epiphile,adrasta,Common Banner,SF-LIME,SUBFAMILY
EUNMON,Eunica,monima,Dingy Purplewing,SF-LIME,SUBFAMILY
EUNTAT,Eunica,tatila,Florida Purplewing,SF-LIME,SUBFAMILY
HAMAM1,Hamadryas,amphichloe,Pale Cracker,SF-LIME,SUBFAMILY
HAMAM2,Hamadryas,amphinome,Red Cracker,SF-LIME,SUBFAMILY
HAMATL,Hamadryas,atlantis,Black-patched Cracker,SF-LIME,SUBFAMILY
HAMFEB,Hamadryas,februa,Gray Cracker,SF-LIME,SUBFAMILY
HAMFER,Hamadryas,feronia,Variable Cracker,SF-LIME,SUBFAMILY
HAMGLA,Hamadryas,glauconome,Glaucous Cracker,SF-LIME,SUBFAMILY
HAMGUA,Hamadryas,guatemalena,Guatemalan Cracker,SF-LIME,SUBFAMILY
HISACH,Historis,acheronta,Tailed Cecropian,SF-LIME,SUBFAMILY
HISODI,Historis,odius,Orion Cecropian,SF-LIME,SUBFAMILY
LIMARC,Limenitis,archippus,Viceroy,SF-LIME,SUBFAMILY
LIMART,Limenitis,arthemis,Red-spotted Admiral,SF-LIME,SUBFAMILY
LIMLOR,Limenitis,lorquini,Lorquin's Admiral,SF-LIME,SUBFAMILY
LIMWEI,Limenitis,weidemeyerii,Weidemeyer's Admiral,SF-LIME,SUBFAMILY
MARCHI,Marpesia,chiron,Many-banded Daggerwing,SF-LIME,SUBFAMILY
MARCOR,Marpesia,coresia,Waiter Daggerwing,SF-LIME,SUBFAMILY
MARELE,Marpesia,eleuchea,Antillean Daggerwing,SF-LIME,SUBFAMILY
MARPET,Marpesia,petreus,Ruddy Daggerwing,SF-LIME,SUBFAMILY
MESAMY,Mestra,amymone,Common Mestra,SF-LIME,SUBFAMILY
MYSCYA,Myscelia,cyananthe,Blackened Bluewing,SF-LIME,SUBFAMILY
MYSETH,Myscelia,ethusa,Mexican Bluewing,SF-LIME,SUBFAMILY
S-LIAR,Limenitis,arthemis arthemis,White Admiral,SF-LIME,SUBFAMILY
S-LIAS,Limenitis,arthemis astyanax,Red-spotted Purple,SF-LIME,SUBFAMILY
SMYBLO,Smyrna,blomfildia,Blomfild's Beauty,SF-LIME,SUBFAMILY
AGAALL,Agathymus,alliae,Mojave Giant-Skipper,SF-MEGA,SUBFAMILY
AGAARY,Agathymus,aryxna,Arizona Giant-Skipper,SF-MEGA,SUBFAMILY
AGAEVA,Agathymus,evansi,Huachuca Giant-Skipper,SF-MEGA,SUBFAMILY
AGAMAR,Agathymus,mariae,Mary's Giant-Skipper,SF-MEGA,SUBFAMILY
AGANEU,Agathymus,neumoegeni,Orange Giant-Skipper,SF-MEGA,SUBFAMILY
AGAPOL,Agathymus,polingi,Poling's Giant-Skipper,SF-MEGA,SUBFAMILY
AGAREM,Agathymus,remingtoni,Coahuila Giant-Skipper,SF-MEGA,SUBFAMILY
AGASTE,Agathymus,stephensi,California Giant-Skipper,SF-MEGA,SUBFAMILY
MEGCOF,Megathymus,cofaqui,Cofaqui Giant-Skipper,SF-MEGA,SUBFAMILY
MEGSTR,Megathymus,streckeri,Strecker's Giant-Skipper,SF-MEGA,SUBFAMILY
MEGURS,Megathymus,ursus,Ursine Giant-Skipper,SF-MEGA,SUBFAMILY
MEGYUC,Megathymus,yuccae,Yucca Giant-Skipper,SF-MEGA,SUBFAMILY
STAMAC,Stallingsia,maculosa,Manfreda Giant-Skipper,SF-MEGA,SUBFAMILY
ANARCHR,Anartia,chrysopelea,Cuban Peacock,SF-NYMP,SUBFAMILY
ANARFAT,Anartia,fatima,Banded Peacock,SF-NYMP,SUBFAMILY
ANARJAT,Anartia,jatrophae,White Peacock,SF-NYMP,SUBFAMILY
CHLOACA,Chlosyne,acastus,Sagebrush Checkerspot,SF-NYMP,SUBFAMILY
CHLOCAL,Chlosyne,californica,California Patch,SF-NYMP,SUBFAMILY
CHLOCHI,Chlosyne,chinatiensis,Chinati Checkerspot,SF-NYMP,SUBFAMILY
CHLOCYN,Chlosyne,cyneas,Black Checkerspot,SF-NYMP,SUBFAMILY
CHLODEF,Chlosyne,definita,Definite Patch,SF-NYMP,SUBFAMILY
CHLOEND,Chlosyne,endeis,Banded Patch,SF-NYMP,SUBFAMILY
CHLOFUL,Chlosyne,fulvia,Fulvia Checkerspot,SF-NYMP,SUBFAMILY
CHLOGAB,Chlosyne,gabbii,Gabb's Checkerspot,SF-NYMP,SUBFAMILY
CHLOGOR,Chlosyne,gorgone,Gorgone Checkerspot,SF-NYMP,SUBFAMILY
CHLOHAR,Chlosyne,harrisii,Harris' Checkerspot,SF-NYMP,SUBFAMILY
CHLOHOF,Chlosyne,hoffmanni,Hoffmann's Checkerspot,SF-NYMP,SUBFAMILY
CHLOJAN,Chlosyne,janais,Crimson Patch,SF-NYMP,SUBFAMILY
CHLOLAC,Chlosyne,lacinia,Bordered Patch,SF-NYMP,SUBFAMILY
CHLOLEA,Chlosyne,leanira,Leanira Checkerspot,SF-NYMP,SUBFAMILY
CHLOMAR,Chlosyne,marina,Red-spotted Patch,SF-NYMP,SUBFAMILY
CHLONYC,Chlosyne,nycteis,Silvery Checkerspot,SF-NYMP,SUBFAMILY
CHLOPAL,Chlosyne,palla,Northern Checkerspot,SF-NYMP,SUBFAMILY
CHLOROS,Chlosyne,rosita,Rosita Patch,SF-NYMP,SUBFAMILY
CHLOTHE,Chlosyne,theona,Theona Checkerspot,SF-NYMP,SUBFAMILY
CHLOWHI,Chlosyne,whitneyi,Rockslide Checkerspot,SF-NYMP,SUBFAMILY
DYMDYM,Dymasia,dymas,Tiny Checkerspot,SF-NYMP,SUBFAMILY
EUPHCHA,Euphydryas,chalcedona,Variable Checkerspot,SF-NYMP,SUBFAMILY
EUPHCHA,Euphydryas,chalcedona,Chalcedon' Variable Checkerspot,SF-NYMP,SUBFAMILY
EUPHCHA,Euphydryas,chalcedona,'Snowberry' Variable Checkerspot,SF-NYMP,SUBFAMILY
EUPHCHA,Euphydryas,chalcedona,Anicia' Variable Checkerspot,SF-NYMP,SUBFAMILY
EUPHEDI,Euphydryas,editha,Edith's Checkerspot,SF-NYMP,SUBFAMILY
EUPHGIL,Euphydryas,gillettii,Gillett's Checkerspot,SF-NYMP,SUBFAMILY
EUPHPHA,Euphydryas,phaeton,Baltimore Checkerspot,SF-NYMP,SUBFAMILY
